MQ135,MQ136,MQ2,MQ3,MQ4,MQ5,MQ6,MQ7,MQ8,MQ9,Humidity,Temperature,label
22.34,31.63,25.32,14.47,40.96,6.13,2.26,1.47,29.61,14.7,56.5,33.7,excellent
22.54,32.32,25.82,14.53,41.25,6.13,2.26,1.47,29.93,15.06,56.5,33.8,excellent
22.54,32.67,26.2,14.59,41.54,6.06,2.26,1.47,29.93,15.06,56.5,33.8,excellent
22.65,32.85,26.46,14.59,41.54,6.41,2.26,1.47,30.09,14.64,56.5,33.8,excellent
22.65,33.03,26.59,14.59,41.83,6.46,2.26,1.47,30.09,14.46,56.5,33.8,excellent
22.65,33.4,26.72,14.59,42.13,6.46,2.26,1.48,30.25,14.46,56.5,33.9,excellent
22.75,33.4,26.85,14.59,42.13,6.49,2.24,1.48,30.25,14.94,56.5,33.8,excellent
22.75,33.58,26.98,14.59,42.44,6.46,2.24,1.48,30.25,14.46,56.5,33.8,excellent
22.75,33.58,26.98,14.59,42.13,6.18,2.24,1.48,30.25,14.64,56.5,33.8,excellent
22.75,33.77,26.98,14.59,42.44,6.11,2.23,1.48,30.41,14.64,56.5,33.8,excellent
22.75,33.77,26.85,14.59,42.44,6.23,2.23,1.47,30.25,14.76,56.5,33.8,excellent
22.75,33.96,26.85,14.59,42.13,6.31,2.23,1.47,30.25,14.88,56.5,33.7,excellent
22.75,33.96,26.85,14.59,42.44,6.26,2.23,1.47,30.25,14.58,56.5,33.7,excellent
22.86,33.96,26.98,14.59,42.44,6.23,2.23,1.48,30.41,14.58,56.5,33.7,excellent
22.86,34.15,26.98,14.59,42.74,6.16,2.23,1.47,30.41,14.4,56.5,33.7,excellent
22.65,33.96,26.85,14.59,42.44,6.13,2.22,1.47,30.25,14.52,56.5,33.7,excellent
22.65,33.96,26.46,14.59,42.44,6.08,2.23,1.47,30.41,14.58,56.5,33.7,excellent
22.65,33.77,26.85,14.53,42.13,6.18,2.23,1.48,30.41,14.52,56.5,33.7,excellent
22.54,33.77,26.72,14.53,42.13,6.08,2.22,1.47,30.25,14.46,56.5,33.7,excellent
22.44,33.58,26.72,14.53,41.54,6.11,2.22,1.47,30.25,14.58,56.5,33.7,excellent
22.24,33.21,26.46,14.42,41.25,6.28,2.22,1.47,29.93,14.29,56.5,33.7,excellent
22.14,33.03,26.33,14.36,40.67,6.21,2.21,1.45,29.77,14.23,56.5,33.7,excellent
22.03,33.03,26.46,14.36,40.39,6.16,2.21,1.47,29.61,14.29,56.5,33.7,excellent
21.64,32.32,26.07,14.24,39.29,6.13,2.19,1.45,29.15,14.11,56.5,33.7,excellent
20.24,30.8,26.07,13.68,33.41,5.39,2.12,1.4,27.41,13.56,56.5,33.8,excellent
20.51,30.0,24.96,13.84,35.58,5.86,2.19,1.42,27.83,13.72,56.5,33.8,excellent
20.15,29.53,24.72,13.62,34.47,5.69,2.16,1.4,27.27,13.56,56.5,33.8,excellent
20.06,29.08,24.37,13.68,34.25,5.69,2.18,1.42,28.41,13.56,56.5,33.8,excellent
