MQ136,MQ137,MQ5,MQ8,Humidity,Temperature,Label
47.28,22.61,10.95,10.28,44.4,27.0,accept
49.28,23.79,12.48,22.62,40.2,26.9,accept
47.61,23.57,11.06,10.87,44.3,27.0,accept
50.33,25.81,11.96,14.56,43.7,27.2,accept
50.33,26.45,12.7,16.15,43.5,27.2,accept
48.26,23.14,12.63,21.63,40.9,27.0,accept
48.94,24.02,12.58,17.98,42.1,27.1,accept
50.33,25.19,12.57,16.96,42.8,27.2,accept
48.94,23.91,12.57,20.06,41.6,27.1,accept
47.93,22.82,12.63,19.15,41.6,27.1,accept
48.94,23.35,12.51,22.4,40.5,26.9,accept
48.94,24.36,12.8,20.52,41.6,27.0,accept
48.94,23.91,11.6,12.33,44.1,27.0,accept
48.6,24.13,11.72,13.23,43.9,27.1,accept
50.33,25.94,12.09,15.05,43.6,27.2,accept
49.98,24.48,12.51,16.37,42.9,27.2,accept
49.28,23.57,12.46,22.57,40.2,26.9,accept
48.94,24.25,12.61,18.32,42.1,27.1,accept
50.33,25.19,12.57,16.87,42.8,27.2,accept
49.98,24.83,12.51,16.45,42.8,27.2,accept
49.98,24.25,12.61,16.34,42.9,27.2,accept
48.94,24.36,12.91,19.23,42.1,27.1,accept
48.94,24.6,12.62,16.13,43.4,27.2,accept
49.28,24.36,12.63,18.64,42.1,27.1,accept
49.98,26.07,12.74,16.24,43.5,27.2,accept
48.94,23.91,12.56,19.9,41.6,27.1,accept
48.6,23.57,12.51,19.39,41.5,27.1,accept
49.28,23.91,12.74,22.84,40.3,26.9,accept
47.61,23.68,11.1,10.96,44.3,27.0,accept
48.94,24.36,12.63,18.73,42.2,27.2,accept
47.61,23.24,11.01,10.67,44.3,27.0,accept
49.28,24.36,12.63,18.44,42.1,27.1,accept
49.98,25.32,12.94,17.84,42.8,27.2,accept
50.33,24.25,12.63,16.37,43.0,27.2,accept
48.26,23.57,12.74,20.46,41.5,27.0,accept
49.63,24.13,12.43,22.04,40.7,27.0,accept
49.63,24.25,12.45,22.17,40.7,27.0,accept
48.26,23.35,12.74,21.78,40.8,27.0,accept
48.26,22.92,12.51,20.48,41.0,27.0,accept
49.28,23.68,12.46,22.57,40.2,26.9,accept
49.28,24.48,12.91,19.21,42.1,27.1,accept
50.33,25.32,11.86,14.15,43.7,27.1,accept
48.94,24.02,12.57,20.01,41.6,27.1,accept
49.28,24.02,12.74,22.83,40.3,26.9,accept
49.63,23.91,12.37,21.9,40.6,27.0,accept
45.42,20.74,10.77,9.16,44.0,26.9,accept
49.28,23.79,12.4,21.79,40.6,27.0,accept
49.98,24.83,12.62,22.45,40.7,26.9,accept
47.61,23.35,11.05,10.76,44.3,27.0,accept
48.94,23.57,11.5,12.33,44.0,27.0,accept
48.94,23.91,12.55,19.79,41.6,27.1,accept
48.94,23.24,12.57,22.59,40.2,26.9,accept
44.82,20.37,10.77,9.11,44.0,26.9,accept
45.42,20.83,10.84,9.46,44.2,26.9,accept
50.33,25.07,12.55,16.79,42.8,27.2,accept
44.82,20.74,10.79,9.41,44.2,26.9,accept
48.6,23.68,12.8,17.94,42.2,27.1,accept
50.33,25.19,12.57,16.88,42.8,27.2,accept
48.6,23.24,12.51,19.25,41.6,27.1,accept
48.94,24.36,12.74,21.66,41.1,27.0,accept
48.94,23.79,12.53,19.74,41.6,27.1,accept
49.28,24.36,12.68,21.53,41.1,27.0,accept
44.82,20.28,10.77,9.1,44.0,26.9,accept
49.28,24.25,12.61,18.34,42.1,27.1,accept
49.28,24.83,12.68,16.29,43.2,27.2,accept
49.28,23.68,12.51,22.59,40.2,26.9,accept
48.26,23.35,12.68,21.67,40.9,27.0,accept
48.94,23.68,12.52,19.56,41.5,27.1,accept
48.94,23.91,12.57,20.01,41.6,27.1,accept
48.94,23.46,12.52,22.44,40.5,26.9,accept
48.94,23.91,12.55,19.79,41.6,27.1,accept
46.96,21.69,10.91,9.98,44.4,26.9,accept
50.33,24.95,12.51,16.56,42.8,27.2,accept
50.33,24.36,12.51,16.31,42.9,27.2,accept
48.94,24.13,12.59,18.13,42.1,27.1,accept
47.93,22.71,12.51,20.46,41.0,27.0,accept
50.33,25.56,11.91,14.29,43.7,27.2,accept
50.33,26.07,12.46,15.81,43.5,27.2,accept
49.98,24.48,12.51,16.35,42.9,27.2,accept
49.98,24.83,12.57,22.43,40.7,27.0,accept
47.28,23.03,10.97,10.46,44.3,27.0,accept
50.69,26.07,12.13,15.2,43.5,27.2,accept
48.6,23.57,12.63,17.86,42.2,27.2,accept
49.63,25.81,12.74,16.28,43.4,27.2,accept
48.94,23.57,12.62,22.46,40.6,26.9,accept
48.26,24.48,11.25,11.34,44.2,27.0,accept
49.63,24.6,12.74,22.7,40.7,26.9,accept
48.26,23.03,12.57,19.18,41.6,27.1,accept
48.26,23.03,12.57,19.15,41.6,27.1,accept
50.33,25.19,12.63,17.14,42.8,27.2,accept
47.93,23.35,12.81,19.35,41.6,27.1,accept
49.63,24.25,12.51,22.94,40.3,26.9,accept
49.28,24.95,11.81,13.16,43.9,27.1,accept
47.93,22.82,12.57,21.48,41.0,27.0,accept
50.33,25.19,12.61,17.08,42.8,27.2,accept
48.26,23.24,12.74,21.79,40.7,27.0,accept
48.26,23.24,12.63,20.45,41.4,27.0,accept
48.6,23.68,12.52,19.56,41.5,27.1,accept
48.6,22.82,12.35,21.53,40.6,27.0,accept
48.6,23.46,12.47,20.72,41.0,27.0,accept
49.63,24.02,12.5,22.71,40.2,26.9,accept
48.94,24.13,12.61,18.17,42.1,27.1,accept
47.61,24.13,11.45,11.68,44.1,27.0,accept
48.94,24.25,12.74,21.66,41.1,27.0,accept
48.6,23.35,12.47,20.69,41.0,27.0,accept
47.93,22.92,12.57,19.14,41.6,27.1,accept
50.33,25.94,12.02,14.77,43.6,27.2,accept
48.26,22.92,12.5,20.48,41.0,27.0,accept
48.94,24.02,11.47,12.45,44.0,27.0,accept
48.6,23.35,12.47,20.68,41.0,27.0,accept
49.63,24.02,12.51,22.71,40.2,26.9,accept
48.94,24.25,12.63,18.53,42.2,27.2,accept
49.28,24.48,12.86,17.87,42.5,27.2,accept
50.33,25.19,12.63,17.22,42.8,27.2,accept
48.6,22.92,12.35,21.53,40.6,27.0,accept
49.63,24.83,12.74,16.4,43.1,27.2,accept
48.6,23.03,12.4,21.55,40.6,27.0,accept
48.6,23.79,12.86,19.35,41.7,27.1,accept
50.33,25.44,12.68,17.42,42.7,27.1,accept
48.94,23.68,12.52,19.47,41.6,27.1,accept
48.26,22.71,12.46,21.53,40.6,27.0,accept
49.28,24.48,11.5,12.67,44.0,27.1,accept
48.94,23.91,11.46,12.44,44.0,27.0,accept
49.63,23.91,12.47,22.71,40.2,26.9,accept
50.33,25.19,12.59,17.05,42.8,27.2,accept
49.28,23.46,12.68,22.71,40.3,26.9,accept
50.69,26.58,12.24,15.35,43.5,27.2,accept
48.6,23.68,12.63,17.86,42.2,27.2,accept
48.26,23.24,12.74,21.79,40.7,27.0,accept
50.33,25.81,12.02,14.72,43.6,27.2,accept
47.61,23.57,11.06,10.95,44.2,27.0,accept
49.28,23.46,12.35,21.66,40.6,27.0,accept
50.33,25.07,12.55,16.79,42.8,27.2,accept
48.94,24.6,11.81,13.2,43.9,27.1,accept
48.94,23.68,12.51,21.05,41.1,27.0,accept
45.42,21.02,10.82,9.24,44.0,26.9,accept
48.26,23.03,12.48,20.53,41.0,27.0,accept
49.28,23.46,12.51,22.57,40.2,26.9,accept
48.6,22.92,12.41,21.61,40.6,27.0,accept
50.33,25.32,12.92,17.79,42.7,27.1,accept
50.69,25.94,12.07,15.01,43.6,27.2,accept
49.28,23.57,12.34,21.74,40.6,27.0,accept
48.6,23.68,12.8,19.08,42.1,27.1,accept
47.93,22.82,12.68,19.23,41.6,27.1,accept
50.69,26.45,12.4,15.65,43.5,27.2,accept
48.6,23.57,12.51,19.36,41.5,27.1,accept
48.26,23.79,12.8,19.25,41.8,27.1,accept
50.33,25.56,12.92,17.77,42.8,27.2,accept
49.98,24.36,11.81,13.64,43.8,27.1,accept
47.93,22.82,12.58,19.15,41.6,27.1,accept
48.6,23.03,12.47,20.57,41.0,27.0,accept
48.94,23.14,12.35,21.56,40.6,27.0,accept
45.12,20.28,10.73,9.11,44.0,26.9,accept
48.94,23.79,12.63,22.57,40.4,26.9,accept
48.94,23.68,12.51,21.05,41.1,27.0,accept
48.94,23.91,12.6,17.96,42.2,27.2,accept
50.69,25.94,12.13,15.13,43.5,27.2,accept
46.96,21.79,10.91,9.98,44.4,26.9,accept
49.28,24.6,12.86,17.87,42.5,27.1,accept
50.33,25.19,12.57,16.96,42.8,27.2,accept
49.98,24.72,11.96,13.7,43.8,27.1,accept
47.93,23.91,11.15,11.15,44.2,27.0,accept
47.61,23.24,11.01,10.64,44.3,27.0,accept
50.33,25.19,11.86,14.02,43.8,27.2,accept
49.98,24.48,11.91,13.69,43.8,27.1,accept
49.28,24.6,12.74,20.34,41.5,27.0,accept
48.94,24.6,11.81,13.41,43.9,27.1,accept
49.98,25.19,12.95,17.85,42.7,27.1,accept
48.6,23.46,12.51,19.35,41.5,27.1,accept
50.69,25.81,12.02,14.77,43.6,27.2,accept
48.94,23.91,12.58,17.97,42.1,27.1,accept
48.94,24.36,12.93,18.04,42.3,27.1,accept
49.28,24.83,12.68,16.3,43.2,27.2,accept
48.94,23.57,12.51,20.88,41.0,27.0,accept
47.61,23.35,11.02,10.73,44.3,27.0,accept
49.63,25.69,12.74,16.29,43.4,27.2,accept
49.63,24.25,12.45,22.08,40.6,26.9,accept
48.94,23.79,12.52,19.58,41.6,27.1,accept
49.98,24.6,11.94,13.64,43.9,27.1,accept
50.33,24.95,11.81,13.83,43.8,27.2,accept
48.94,23.46,12.34,21.66,40.6,27.0,accept
47.93,24.36,11.25,11.3,44.2,27.0,accept
48.6,23.79,12.8,21.75,41.1,27.0,accept
48.94,23.68,12.52,19.57,41.5,27.1,accept
48.6,23.35,12.51,19.25,41.6,27.1,accept
49.63,24.25,12.52,22.88,40.3,26.9,accept
49.28,24.36,12.63,18.73,42.1,27.1,accept
48.94,24.48,12.57,16.12,43.4,27.2,accept
48.94,23.35,12.34,21.66,40.6,27.0,accept
48.26,23.35,12.7,21.76,40.8,27.0,accept
49.28,25.07,11.77,13.09,43.9,27.1,accept
48.6,23.79,12.63,17.87,42.1,27.1,accept
48.94,24.25,12.59,18.24,42.1,27.1,accept
47.61,23.14,11.01,10.59,44.3,27.0,accept
48.94,23.68,12.51,21.06,41.1,27.0,accept
47.28,23.14,11.35,11.73,44.2,27.0,accept
48.94,23.68,12.51,21.16,41.1,27.0,accept
48.6,23.14,12.46,20.57,41.0,27.0,accept
44.82,20.37,10.82,9.34,44.0,26.9,accept
49.28,23.57,12.35,21.67,40.6,27.0,accept
46.96,21.99,10.91,10.07,44.4,27.0,accept
49.98,25.44,12.92,17.78,42.7,27.1,accept
49.63,25.19,11.65,12.9,44.0,27.1,accept
45.42,20.93,10.87,9.3,44.0,26.9,accept
50.33,25.19,12.57,16.89,42.8,27.2,accept
49.28,24.36,11.5,12.58,44.0,27.1,accept
47.61,23.24,11.01,10.61,44.3,27.0,accept
48.6,24.02,12.92,18.01,42.2,27.1,accept
47.93,24.48,11.36,11.54,44.2,27.0,accept
43.67,20.02,10.68,9.0,44.1,26.9,accept
49.98,24.48,12.51,16.36,42.9,27.2,accept
48.26,22.71,12.46,21.54,40.6,27.0,accept
49.28,24.25,12.62,18.43,42.1,27.1,accept
49.98,24.25,12.51,22.85,40.2,26.9,accept
45.12,20.37,10.73,9.11,44.0,26.9,accept
50.69,25.94,12.06,14.84,43.6,27.2,accept
49.28,24.02,12.4,21.91,40.6,27.0,accept
48.6,23.79,12.82,19.27,41.8,27.1,accept
48.94,23.24,12.35,21.64,40.6,27.0,accept
45.12,20.28,10.73,9.11,44.0,26.9,accept
50.69,26.07,12.13,15.14,43.5,27.2,accept
49.63,24.02,12.4,21.92,40.7,27.0,accept
49.98,24.83,12.59,22.44,40.7,27.0,accept
49.28,24.48,12.84,17.85,42.5,27.1,accept
44.82,20.55,10.82,9.34,44.0,26.9,accept
48.6,24.02,11.7,13.14,43.9,27.1,accept
50.69,25.94,12.07,14.99,43.6,27.2,accept
46.96,21.89,10.91,10.02,44.4,26.9,accept
48.94,23.79,12.51,21.27,41.1,27.0,accept
44.82,20.83,10.82,9.44,44.2,26.9,accept
50.33,26.32,12.56,15.96,43.5,27.2,accept
50.33,25.19,12.63,17.32,42.8,27.2,accept
49.28,23.91,12.68,22.71,40.4,26.9,accept
48.94,24.36,12.63,18.73,42.2,27.2,accept
47.28,23.14,11.35,11.75,44.1,27.0,accept
49.28,24.36,12.72,21.56,41.1,27.0,accept
47.28,22.82,10.96,10.37,44.4,27.0,accept
