MQ136,MQ137,MQ5,MQ8,Humidity,Temperature,Label
52.94,23.91,9.11,28.78,38.7,26.7,accept
39.26,14.18,6.33,23.39,40.2,26.9,accept
35.53,11.76,5.77,21.91,40.5,26.8,accept
47.93,22.5,8.53,28.34,39.3,26.7,accept
53.33,24.25,9.04,29.07,39.0,26.7,accept
54.53,26.45,10.15,29.99,38.1,26.6,accept
52.94,25.56,9.73,29.4,38.7,26.7,accept
42.83,17.43,7.1,25.34,39.8,26.8,accept
53.72,26.58,10.0,30.17,38.4,26.7,accept
39.74,14.47,6.38,23.54,40.0,26.8,accept
54.94,28.37,10.73,30.85,38.2,26.6,accept
56.64,27.39,10.73,30.9,37.8,26.6,accept
43.95,18.99,7.53,26.59,39.7,26.7,accept
44.24,18.83,7.47,26.28,39.7,26.7,accept
55.35,28.09,10.73,31.03,38.0,26.6,accept
47.93,22.71,8.57,28.39,39.3,26.7,accept
56.2,27.39,10.77,30.68,37.8,26.6,accept
55.35,25.94,10.01,30.02,38.3,26.6,accept
36.14,12.14,5.88,22.98,40.6,26.8,accept
52.94,25.07,9.53,29.17,38.7,26.7,accept
52.94,24.25,9.22,28.79,38.7,26.7,accept
36.14,12.19,5.9,22.98,40.6,26.8,accept
52.55,26.72,10.02,30.06,38.6,26.6,accept
52.17,24.13,9.0,28.99,39.0,26.7,accept
56.2,27.81,10.89,30.75,37.7,26.6,accept
32.85,9.82,5.31,21.17,41.3,26.8,accept
37.88,13.14,6.09,22.71,40.3,26.9,accept
36.14,12.24,5.9,22.98,40.6,26.8,accept
42.83,17.29,7.07,25.21,39.9,26.8,accept
56.64,28.96,11.35,31.67,37.7,26.6,accept
32.85,9.67,5.25,21.17,41.4,26.8,accept
43.11,17.58,7.16,25.39,39.8,26.8,accept
48.94,22.92,8.6,28.46,39.4,26.7,accept
52.94,25.44,9.69,29.32,38.7,26.7,accept
55.78,27.95,10.96,30.85,37.8,26.6,accept
38.33,13.52,6.19,22.98,40.3,26.9,accept
52.94,24.83,9.45,29.0,38.7,26.7,accept
52.94,24.95,9.49,29.05,38.7,26.7,accept
54.94,26.72,10.06,30.25,38.4,26.6,accept
39.26,14.13,6.33,23.35,40.2,26.9,accept
52.94,25.69,9.77,29.4,38.7,26.7,accept
34.15,12.0,5.88,23.21,40.5,26.8,accept
51.42,23.57,8.84,28.78,39.3,26.7,accept
52.94,23.79,9.07,28.78,38.7,26.7,accept
52.94,25.44,9.66,29.28,38.7,26.7,accept
48.26,21.4,8.19,27.48,39.3,26.7,accept
51.42,23.68,8.85,28.79,39.3,26.7,accept
48.26,21.4,8.23,27.49,39.3,26.7,accept
37.21,12.63,6.0,22.44,40.4,26.9,accept
50.33,23.03,8.81,28.59,39.1,26.6,accept
36.99,12.58,5.97,22.41,40.4,26.9,accept
44.53,18.99,7.5,26.38,39.7,26.7,accept
46.65,19.93,7.69,27.08,39.7,26.7,accept
32.67,9.71,5.27,21.17,41.3,26.8,accept
55.78,27.39,10.77,30.68,37.8,26.6,accept
54.53,26.58,10.19,29.99,38.1,26.6,accept
48.26,21.4,8.23,27.5,39.3,26.7,accept
54.53,27.25,10.5,30.27,38.1,26.6,accept
44.53,19.16,7.53,26.45,39.7,26.7,accept
33.03,10.06,5.35,21.18,41.1,26.8,accept
55.78,28.23,11.1,30.96,37.8,26.6,accept
48.26,21.21,8.16,27.44,39.3,26.7,accept
52.94,25.19,9.61,29.19,38.7,26.7,accept
51.79,23.35,8.77,28.6,39.4,26.7,accept
33.03,10.1,5.36,21.18,41.1,26.8,accept
48.26,21.89,8.36,27.81,39.3,26.7,accept
35.94,12.05,5.84,22.05,40.5,26.9,accept
53.33,23.79,9.07,28.78,38.7,26.7,accept
42.56,17.07,7.02,25.09,39.9,26.8,accept
42.83,17.43,7.1,25.36,39.8,26.8,accept
42.83,17.43,7.1,25.36,39.8,26.8,accept
48.26,21.4,8.23,27.48,39.3,26.7,accept
48.26,20.93,8.06,27.26,39.3,26.7,accept
48.26,22.92,8.57,28.39,39.3,26.7,accept
27.36,9.63,5.23,21.73,41.0,26.8,accept
35.12,11.49,5.7,21.78,40.6,26.8,accept
43.39,17.96,7.24,25.7,39.7,26.7,accept
54.12,28.37,10.78,31.02,38.2,26.6,accept
52.94,25.32,9.62,29.2,38.7,26.7,accept
35.94,12.0,5.85,22.98,40.7,26.8,accept
42.29,16.65,6.91,24.87,39.9,26.8,accept
55.78,27.95,10.97,30.9,37.8,26.6,accept
56.64,28.23,10.82,31.16,37.9,26.6,accept
43.39,17.81,7.21,25.53,39.7,26.7,accept
42.29,16.72,6.93,24.89,39.9,26.8,accept
43.67,18.35,7.33,25.89,39.7,26.7,accept
40.73,15.32,6.59,23.99,40.0,26.8,accept
35.73,11.95,5.83,22.98,40.7,26.8,accept
56.2,29.26,11.34,31.39,37.8,26.6,accept
48.26,21.69,8.33,27.63,39.3,26.7,accept
48.6,22.82,8.53,28.23,39.3,26.7,accept
48.26,21.11,8.15,27.39,39.3,26.7,accept
47.28,20.02,7.72,27.12,39.7,26.7,accept
33.96,10.83,5.54,21.42,40.8,26.8,accept
52.94,26.72,9.98,29.97,38.7,26.7,accept
40.48,14.95,6.51,23.83,40.0,26.8,accept
48.26,21.6,8.29,27.63,39.3,26.7,accept
44.24,19.67,7.62,26.88,39.7,26.7,accept
52.94,26.72,10.02,30.02,38.6,26.6,accept
48.26,21.69,8.33,27.63,39.3,26.7,accept
36.57,12.33,5.9,22.21,40.4,26.9,accept
35.94,12.09,5.87,22.98,40.6,26.7,accept
40.23,14.95,6.49,23.83,40.0,26.8,accept
42.56,17.14,7.04,25.19,39.8,26.8,accept
34.53,11.18,5.63,21.6,40.6,26.8,accept
36.78,12.43,5.95,22.31,40.4,26.9,accept
48.26,20.65,8.0,27.16,39.4,26.7,accept
40.48,15.01,6.51,23.84,40.0,26.8,accept
33.03,11.67,5.81,23.08,40.5,26.8,accept
54.94,26.72,10.06,30.25,38.4,26.6,accept
54.53,26.98,10.41,30.24,38.1,26.6,accept
41.5,16.03,6.77,24.45,39.9,26.8,accept
43.39,18.04,7.24,25.7,39.7,26.7,accept
55.78,28.09,10.77,31.11,37.9,26.6,accept
54.94,28.67,11.3,31.53,37.8,26.6,accept
43.39,17.96,7.24,25.68,39.7,26.7,accept
35.73,11.72,5.77,21.91,40.5,26.8,accept
52.94,25.44,9.69,29.39,38.7,26.7,accept
53.33,23.68,9.03,28.79,38.8,26.7,accept
41.5,15.9,6.74,24.43,39.9,26.8,accept
44.24,18.75,7.47,26.26,39.7,26.7,accept
32.85,9.9,5.32,21.17,41.2,26.8,accept
54.94,28.52,10.76,30.87,38.2,26.6,accept
54.94,25.94,10.0,29.87,38.3,26.7,accept
31.63,11.18,5.7,22.85,40.5,26.8,accept
42.29,16.51,6.88,24.75,39.9,26.8,accept
56.2,27.67,10.83,30.69,37.7,26.6,accept
54.53,27.39,10.55,30.43,38.1,26.6,accept
34.93,11.31,5.66,21.66,40.6,26.8,accept
55.78,28.81,11.3,31.6,37.6,26.5,accept
36.35,12.29,5.93,22.99,40.6,26.8,accept
43.39,17.88,7.21,25.59,39.7,26.7,accept
54.53,27.39,10.55,30.44,38.1,26.6,accept
34.93,11.31,5.68,21.66,40.6,26.8,accept
52.94,25.19,9.58,29.19,38.7,26.7,accept
52.94,24.72,9.41,28.99,38.7,26.7,accept
54.53,27.95,10.68,30.92,38.0,26.6,accept
44.53,18.91,7.47,26.35,39.7,26.7,accept
56.2,27.53,10.77,30.69,37.8,26.6,accept
54.94,25.94,10.02,29.84,38.2,26.6,accept
39.03,14.07,6.31,23.28,40.1,26.8,accept
52.94,24.36,9.26,28.82,38.7,26.7,accept
52.94,24.95,9.49,29.08,38.7,26.7,accept
42.03,16.37,6.85,24.69,39.9,26.8,accept
48.26,21.89,8.39,27.81,39.3,26.7,accept
38.79,13.9,6.28,23.22,40.2,26.9,accept
57.07,27.95,10.81,31.13,37.9,26.6,accept
56.2,27.67,10.82,30.71,37.7,26.6,accept
42.29,16.65,6.93,24.88,39.9,26.8,accept
38.79,13.85,6.26,23.12,40.1,26.8,accept
43.95,18.67,7.41,26.11,39.7,26.7,accept
